pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
K2-32 e,K2-32,2019,1.212,4.34934,0.04899,1066.0,0.043,5271.0,0.86,0.83,2,4,Transit,2.1
K2-321 b,K2-321,2020,2.05124347,2.2979749,0.02839,830.0,0.44,3750.0,0.595,0.578,1,1,Transit,4.86
K2-322 b,K2-322,2020,1.92,8.205,0.0594,635.0,0.0,4141.0,0.602,0.63,1,1,Transit,4.35
K2-323 b,K2-323,2020,2.1,24.93,0.1275,318.0,0.0,3710.0,0.549,0.478,1,1,Transit,5.06
K2-325 b,K2-325,2020,2.2,6.93,0.0419,423.0,0.0,3287.0,0.298,0.274,1,1,Transit,5.48
K2-326 b,K2-326,2020,2.28,1.256,0.0198,1114.0,0.0,3924.0,0.688,0.507,1,1,Transit,5.82
K2-329 b,K2-329,2020,8.675766,12.4551225,0.1016,650.0,0.0697,5282.0,0.822,0.901,1,1,Transit,82.6358
K2-33 b,K2-33,2016,5.04,5.424865,0.0409,850.0,0.0,3540.0,1.05,0.56,1,1,Transit,1175.971
K2-330 b,K2-330,2021,2.77,13.774798,0.099815,969.0,0.0,6232.0,1.5,1.23,1,1,Transit,8.1
K2-331 b,K2-331,2021,1.79,9.398977,0.099815,909.0,0.0,5994.0,1.06,1.1,1,2,Transit,3.86
K2-331 c,K2-331,2021,2.72,22.996591,0.099815,673.0,0.0,5994.0,1.06,1.1,1,2,Transit,7.85
K2-332 b,K2-332,2021,2.2,17.70632,0.099815,266.0,0.0,3315.0,0.28,0.27,1,1,Transit,5.48
K2-333 b,K2-333,2021,6.18,14.759287,0.099815,826.0,0.0,5880.0,1.22,1.06,1,1,Transit,31.6
K2-334 b,K2-334,2021,5.65,5.113981,0.099815,1380.0,0.0,6502.0,1.49,1.36,1,1,Transit,27.2
K2-336 b,K2-336,2021,1.22,21.194733,0.099815,569.0,0.0,5424.0,0.8,0.86,1,1,Transit,1.98
K2-337 b,K2-337,2021,2.62,16.273563,0.099815,850.0,0.0,5869.0,1.32,0.94,1,1,Transit,7.37
K2-338 b,K2-338,2021,1.03,3.850614,0.099815,783.0,0.0,4558.0,0.63,0.66,1,1,Transit,1.08
K2-339 b,K2-339,2021,1.92,19.507428,0.099815,508.0,0.0,4857.0,0.72,0.74,1,1,Transit,4.35
K2-34 b,K2-34,2016,13.75,2.9956348,0.0442,1687.0,0.0,6168.0,1.42,1.16,1,1,Transit,539.67534
K2-340 b,K2-340,2021,3.36,29.740451,0.099815,606.0,0.0,5532.0,1.13,0.93,1,1,Transit,11.2
K2-341 b,K2-341,2021,3.21,36.552551,0.099815,598.0,0.0,5817.0,1.16,0.98,1,1,Transit,10.4
K2-342 b,K2-342,2021,2.03,11.561052,0.099815,861.0,0.0,5920.0,1.09,1.01,1,1,Transit,4.78
K2-343 b,K2-343,2021,1.65,2.787174,0.099815,653.0,0.0,3804.0,0.46,0.49,1,2,Transit,3.36
K2-344 b,K2-344,2021,1.59,3.35585,0.099815,722.0,0.0,4374.0,0.49,0.51,1,1,Transit,3.15
K2-345 b,K2-345,2021,2.11,10.367437,0.099815,437.0,0.0,3779.0,0.52,0.56,1,1,Transit,5.1
K2-346 b,K2-346,2021,2.26,26.201446,0.099815,450.0,0.0,4801.0,0.7,0.71,1,1,Transit,5.73
K2-347 b,K2-347,2021,2.41,7.187257,0.099815,640.0,0.0,4599.0,0.63,0.66,1,1,Transit,6.39
K2-348 b,K2-348,2021,3.26,4.688418,0.099815,908.0,0.0,5077.0,0.85,0.83,1,2,Transit,10.7
K2-349 b,K2-349,2021,1.38,9.032178,0.099815,518.0,0.0,4385.0,0.49,0.54,1,1,Transit,2.48
K2-35 b,K2-35,2016,1.32,2.399964,0.031,979.0,0.13,4402.71,0.619575,0.701968,1,2,Transit,2.3
K2-35 c,K2-35,2016,1.93,5.608352,0.055,766.0,0.12,4402.71,0.619575,0.701968,1,2,Transit,4.38
K2-350 b,K2-350,2021,1.54,4.163873,0.099815,1158.0,0.0,5789.0,1.04,0.98,1,2,Transit,2.99
K2-350 c,K2-350,2016,2.74,19.991944,0.099815,687.0,0.0,5789.0,1.04,0.98,1,2,Transit,7.95
K2-351 b,K2-351,2021,2.54,7.806164,0.099815,934.0,0.0,5769.0,1.05,1.02,1,1,Transit,6.99
K2-352 c,K2-352,2021,1.92,8.234885,0.099815,885.0,0.0,5791.0,0.95,0.98,1,3,Transit,4.35
K2-352 d,K2-352,2021,2.23,14.871387,0.099815,727.0,0.0,5791.0,0.95,0.98,1,3,Transit,5.6
K2-353 b,K2-353,2021,5.55,15.466805,0.099815,735.0,0.0,5698.0,0.99,0.87,1,1,Transit,26.3
K2-354 b,K2-354,2021,1.56,3.793306,0.099815,543.0,0.0,3669.0,0.41,0.43,1,1,Transit,3.05
K2-355 b,K2-355,2021,2.25,5.7385647,0.0632,1066.0,0.0,5790.0,0.92,0.96,1,1,Transit,5.69
K2-358 b,K2-358,2021,2.68,11.2510285,0.0863,888.0,0.0,5650.0,0.91,0.93,1,1,Transit,7.65
K2-36 b,K2-36,2016,1.43,1.422614,0.02288,1328.0,0.093,4916.0,0.718,0.79,1,2,Transit,4.3
K2-360 c,EPIC 201595106,2024,4.02,9.79692,0.0883,912.0,0.11,5679.0,0.98,0.958,1,2,Radial Velocity,15.23
K2-365 b,K2-365,2022,2.906,23.448172,0.099815,751.0,0.0,5561.0,1.051,0.823,1,1,Transit,8.78
K2-366 b,K2-366,2022,2.359,15.937039,0.099815,751.0,0.0,5601.0,0.94,0.825,1,1,Transit,6.16
K2-367 b,K2-367,2022,2.413,20.645099,0.099815,751.0,0.0,4348.0,0.625,0.756,1,1,Transit,6.41
K2-368 c,K2-368,2022,1.361,9.660186,0.099815,751.0,0.0,4663.0,0.663,0.746,1,3,Transit,2.42
K2-368 d,K2-368,2022,1.948,20.201085,0.099815,751.0,0.0,4663.0,0.663,0.746,1,3,Transit,4.45
K2-369 b,K2-369,2022,1.313,5.761612,0.099815,751.0,0.0,5682.0,0.881,0.735,1,1,Transit,2.28
K2-37 b,K2-37,2016,1.39,4.4434,0.05105,949.0,0.0,5352.0,0.809,0.84,1,3,Transit,2.51
K2-37 d,K2-37,2016,2.31,14.09229,0.1102,646.0,0.0,5352.0,0.809,0.84,1,3,Transit,12.5
K2-370 b,K2-370,2022,2.67,2.1408093,0.0321,1267.0,0.0,5662.0,0.945,0.962,1,1,Transit,11.1
K2-372 b,K2-372,2022,2.945,9.844077,0.099815,751.0,0.0,5479.0,0.922,0.847,1,1,Transit,8.98
K2-373 b,K2-373,2022,2.061,11.02066,0.099815,751.0,0.0,6138.0,1.486,1.158,1,1,Transit,4.9
K2-374 b,K2-374,2022,1.593,4.521953,0.099815,751.0,0.0,5789.0,0.907,0.731,1,2,Transit,3.16
K2-374 c,K2-374,2022,2.213,16.43445,0.099815,751.0,0.0,5789.0,0.907,0.731,1,2,Transit,5.53
K2-375 b,K2-375,2022,2.243,14.453895,0.099815,751.0,0.0,5822.0,1.543,1.119,1,1,Transit,5.66
K2-376 b,K2-376,2022,1.736,5.776475,0.099815,751.0,0.0,5937.0,1.149,0.908,1,1,Transit,3.66
K2-377 b,K2-377,2022,1.693,12.832235,0.099815,751.0,0.0,4200.0,0.691,0.821,1,1,Transit,3.51
K2-378 b,K2-378,2022,2.88,2.060438,0.099815,751.0,0.0,4823.0,0.732,0.923,1,1,Transit,8.65
K2-379 b,K2-379,2022,2.181,8.777247,0.099815,751.0,0.0,4603.0,0.751,0.856,1,1,Transit,5.4
K2-38 b,K2-38,2016,1.54,4.01593,0.04994,1266.0,0.197,5731.0,1.06,1.03,1,2,Transit,7.3
K2-38 c,K2-38,2016,2.29,10.56103,0.09514,916.0,0.161,5731.0,1.06,1.03,1,2,Transit,8.3
K2-380 b,K2-380,2022,2.729,9.401312,0.099815,751.0,0.0,5911.0,1.32,0.993,1,1,Transit,7.89
K2-381 b,K2-381,2022,1.075,7.9389334,0.099815,751.0,0.0,4473.0,0.675,0.754,1,3,Transit,1.26
K2-381 c,K2-381,2022,2.0,16.034656,0.099815,751.0,0.0,4473.0,0.675,0.754,1,3,Transit,4.66
K2-381 d,K2-381,2022,1.689,26.803023,0.099815,751.0,0.0,4473.0,0.675,0.754,1,3,Transit,3.5
K2-382 b,K2-382,2022,2.072,21.700156,0.099815,751.0,0.0,5452.0,0.811,0.922,1,1,Transit,4.95
K2-383 b,K2-383,2022,1.564,1.865962,0.099815,751.0,0.0,5129.0,0.804,1.061,1,1,Transit,3.07
K2-384 b,K2-384,2022,1.076,2.231527,0.099815,751.0,0.0,3623.0,0.348,0.33,1,5,Transit,1.26
K2-384 d,K2-384,2022,1.392,6.679582,0.099815,751.0,0.0,3623.0,0.348,0.33,1,5,Transit,2.52
K2-384 e,K2-384,2022,1.345,9.715043,0.099815,751.0,0.0,3623.0,0.348,0.33,1,5,Transit,2.37
K2-384 f,K2-384,2022,2.222,13.62749,0.099815,751.0,0.0,3623.0,0.348,0.33,1,5,Transit,5.57
K2-385 b,K2-385,2022,1.539,2.380867,0.099815,751.0,0.0,4844.0,0.761,0.927,1,1,Transit,2.98
K2-386 b,K2-386,2022,2.32,7.473223,0.099815,751.0,0.0,5749.0,0.97,0.911,1,1,Transit,5.99
K2-387 b,K2-387,2022,7.322,28.735327,0.099815,751.0,0.0,3572.0,0.585,0.57,1,1,Transit,42.2
K2-388 b,K2-388,2022,3.9,6.33932,0.099815,874.0,0.0,5310.0,0.91,0.93,1,1,Transit,14.5
K2-389 b,K2-389,2022,2.33,8.58289,0.099815,932.0,0.0,5773.0,1.094,0.99,1,2,Transit,6.04
K2-389 c,K2-389,2022,2.04,20.851337,0.099815,751.0,0.0,5782.0,1.084,0.802,1,2,Transit,4.82
K2-39 b,K2-39,2016,6.27704,4.60543,0.05708,1670.0,0.0,4881.0,2.97,0.66,1,1,Transit,28.6047
K2-391 b,K2-391,2022,1.371,4.622654,0.099815,751.0,0.0,5543.0,0.566,0.757,1,1,Transit,2.45
K2-392 b,K2-392,2022,1.85,15.398723,0.099815,751.0,0.0,5726.0,1.058,0.841,1,1,Transit,4.08
K2-393 b,K2-393,2022,2.352,10.413181,0.099815,751.0,0.0,5678.0,1.071,0.881,1,1,Transit,6.13
K2-395 b,K2-395,2022,2.597,4.803352,0.099815,751.0,0.0,5007.0,0.783,0.952,1,2,Transit,7.26
K2-395 c,K2-395,2022,3.395,8.491282,0.099815,751.0,0.0,5007.0,0.783,0.952,1,2,Transit,11.4
K2-396 b,K2-396,2022,1.579,0.673862,0.099815,751.0,0.0,5236.0,0.92,0.954,1,2,Transit,3.12
K2-396 c,K2-396,2022,3.124,25.76051,0.099815,751.0,0.0,5236.0,0.92,0.954,1,2,Transit,9.93
K2-397 b,K2-397,2022,2.417,3.572326,0.099815,751.0,0.0,5387.0,0.966,0.937,1,1,Transit,6.42
K2-398 c,K2-398,2022,5.098,18.787839,0.099815,751.0,0.0,5946.0,1.239,0.945,1,2,Transit,22.8
K2-400 b,K2-400,2022,1.163,3.865053,0.099815,751.0,0.0,3578.0,0.382,0.374,1,1,Transit,1.67
K2-401 b,K2-401,2022,2.262,6.293099,0.099815,751.0,0.0,4213.0,0.675,0.87,1,1,Transit,5.74
K2-402 b,K2-402,2022,2.678,17.27474,0.099815,751.0,0.0,5716.0,1.28,0.944,1,1,Transit,7.65
K2-403 b,K2-403,2022,5.333,33.589979,0.099815,949.0,0.0,5511.0,0.886,0.784,1,1,Transit,24.6
K2-404 b,K2-404,2022,2.53,13.115365,0.099815,751.0,0.0,3748.0,0.552,0.552,1,1,Transit,6.94
K2-405 b,K2-405,2022,4.569,3.435471,0.099815,969.0,0.0,4927.0,0.765,1.034,1,1,Transit,18.9
K2-406 b,K2-406,2022,4.602,22.549406,0.099815,751.0,0.0,5784.0,0.961,0.798,1,1,Transit,19.2
K2-408 b,K2-408,2022,1.677,20.978959,0.099815,751.0,0.0,5335.0,0.784,0.813,1,1,Transit,3.45
K2-409 b,K2-409,2022,2.482,1.908084,0.099815,751.0,0.0,5742.0,1.228,0.886,1,1,Transit,6.72
K2-411 b,K2-411,2022,0.9898,3.2141,0.0511,1428.52,0.0,5711.0,1.375,1.018,1,1,Transit,0.937
K2-412 b,K2-412,2022,2.116,5.9382,0.0586,1100.64,0.0,5590.0,0.977,0.893,1,1,Transit,5.13
K2-413 b,K2-413,2022,0.7599,0.8094,0.0117,1535.2,0.0,4116.0,0.7,0.808,1,2,Transit,0.363
K2-415 b,K2-415,2023,1.015,4.0179694,0.027,412.4,0.0,3173.0,0.1965,0.1635,1,1,Transit,7.5
K2-416 b,K2-416,2023,2.66,13.102,0.088,447.0,0.0,3746.0,0.554,0.548,1,1,Transit,1652.7077164
K2-417 b,K2-417,2023,3.31,6.535,0.063,558.0,0.0,3861.0,0.5776,0.569,1,1,Transit,699.2224954
K2-419 A b,K2-419 A,2024,10.55,20.35847252,0.1208,377.0,0.042,3711.0,0.541,0.562,2,1,Transit,196.0
K2-42 b,K2-42,2016,2.15,6.68796,0.0617,718.09,0.0,4613.0,0.643,0.702,1,1,Transit,5.27
K2-43 b,K2-43,2016,4.51,3.471149,0.03784,939.3,0.07,3840.6,0.542,0.571,1,2,Transit,18.5
K2-43 c,K2-43,2019,2.42,2.198884,0.099815,1093.7,0.0,3840.6,0.542,0.571,1,2,Transit,6.44
K2-44 b,K2-44,2016,2.433,5.657,0.06,1211.0,0.0,5912.0,1.58,1.15,1,1,Transit,6.5
K2-45 b,K2-45,2016,6.71,1.7292684,0.0224,1073.56,0.1,4103.0,0.445,0.503,1,1,Transit,36.4
K2-46 b,K2-46,2016,2.05,19.1541,0.13821,889.0,0.0,6256.0,1.29,0.96,1,1,Transit,4.86
K2-47 b,K2-47,2016,1.89,31.6372,0.1779,503.72,0.0,5054.0,0.76,0.75,1,1,Transit,4.23
K2-48 b,K2-48,2016,2.24,20.5065,0.1344,550.56,0.0,4899.0,0.73,0.77,1,1,Transit,5.65
K2-5 b,K2-5,2015,1.91,5.73594,0.0532,565.0,0.0,3930.0,0.57,0.61,1,2,Transit,4.31
K2-5 c,K2-5,2015,2.26,10.93241,0.0818,456.0,0.0,3930.0,0.57,0.61,1,2,Transit,5.73
K2-50 b,K2-50,2016,1.59,8.7529,0.0705,580.53,0.0,4326.0,0.546,0.611,1,2,Transit,3.15
K2-53 b,K2-53,2016,2.6,12.20772,0.098,665.0,0.0,5263.0,0.807,0.851,1,1,Transit,7.27
K2-54 b,K2-54,2016,2.6116925,9.7833,0.0761,560.0,0.24,3990.0,0.643,0.615,1,1,Transit,7.33
K2-55 b,K2-55,2016,4.43,2.849271,0.03486,900.0,0.07,4300.0,0.715,0.688,1,1,Transit,44.0
K2-57 b,K2-57,2016,2.30905002,9.0073,0.0752,635.8,0.25,4413.0,0.671,0.699,1,1,Transit,5.94
K2-58 b,K2-58,2016,2.68,7.05254,0.0692,920.17,0.0,5413.0,0.86,0.89,1,3,Transit,7.65
K2-58 c,K2-58,2016,1.62,2.53726,0.035,1293.86,0.0,5413.0,0.86,0.89,1,3,Transit,3.26
K2-58 d,K2-58,2016,1.71,22.8827,0.1517,621.48,0.0,5413.0,0.86,0.89,1,3,Transit,3.57
K2-59 b,K2-59,2016,2.41,20.6921,0.1354,566.37,0.0,5055.0,0.731,0.774,1,2,Transit,6.39
K2-59 c,K2-59,2016,2.3,11.2954,0.0905,692.77,0.0,5055.0,0.731,0.774,1,2,Transit,5.9
K2-62 b,K2-62,2016,2.02,6.67199,0.0636,666.0,0.0,4455.0,0.696,0.67,1,2,Transit,4.74
K2-62 c,K2-62,2016,1.99,16.19697,0.1148,495.0,0.0,4455.0,0.696,0.67,1,2,Transit,4.62
K2-63 b,K2-63,2016,3.22,20.257,0.1627,1033.44,0.0,6771.0,1.63,1.4,1,2,Transit,10.5
K2-63 c,K2-63,2016,3.9,25.4556,0.189,958.85,0.0,6771.0,1.63,1.4,1,2,Transit,14.5
K2-65 b,K2-65,2016,1.58,12.6475,0.1014,723.51,0.0,5213.0,0.84,0.87,1,1,Transit,3.12
K2-66 b,K2-66,2016,2.49,5.06963,0.05983,1372.0,0.0,5887.0,1.67,1.11,1,1,Transit,21.3
K2-68 b,K2-68,2016,1.58,8.05428,0.0708,706.64,0.0,4746.0,0.675,0.73,1,1,Transit,3.12
K2-69 b,K2-69,2016,2.32,7.06599,0.0591,573.61,0.0,4127.0,0.491,0.551,1,1,Transit,5.99
K2-7 b,K2-7,2015,4.03523305,28.6781,0.1867,786.0,0.24,5700.0,1.533,1.056,1,1,Transit,15.3
K2-70 b,K2-70,2016,2.89,13.97896,0.1112,783.99,0.0,5622.0,0.93,0.94,1,1,Transit,8.7
K2-71 b,K2-71,2016,2.15,6.98541,0.0559,533.27,0.0,4006.0,0.426,0.477,1,1,Transit,5.27
K2-72 b,K2-72,2016,1.08,5.577212,0.04,466.13,0.11,3360.47,0.330989,0.271365,1,4,Transit,1.28
K2-72 c,K2-72,2016,1.16,15.189034,0.078,333.81,0.11,3360.47,0.330989,0.271365,1,4,Transit,1.65
K2-72 e,K2-72,2016,1.29,24.158868,0.106,286.34,0.11,3360.47,0.330989,0.271365,1,4,Transit,2.21
K2-73 b,K2-73,2016,2.58,7.49556,0.07619,968.0,0.0,5867.0,1.058,1.02,1,2,Transit,9.2
K2-73 c,K2-73,2025,13.0,1000.0,0.099815,186.1,0.0,5867.0,1.058,1.02,1,2,Radial Velocity,1142.0
K2-74 b,K2-74,2016,2.31,19.5666,0.1402,772.58,0.0,6060.0,0.98,0.96,1,1,Transit,5.95
K2-75 b,K2-75,2016,2.67,7.8142,0.081,1268.65,0.0,5995.0,1.56,1.16,1,2,Transit,7.61
K2-75 c,K2-75,2016,2.77,18.311,0.1429,955.14,0.0,5995.0,1.56,1.16,1,2,Transit,8.1
K2-77 b,K2-77,2016,2.4996027,8.2000844,0.0753,806.0,0.29,5160.0,0.792,0.847,1,1,Transit,603.877
K2-79 b,K2-79,2016,4.15,10.995039,0.0987,1033.0,0.032,5897.0,1.269,1.06,1,1,Transit,5.9
K2-8 b,K2-8,2015,3.58,10.35239,0.0856,631.0,0.0,4870.0,0.74,0.78,1,2,Transit,12.5
K2-80 b,K2-80,2016,2.01,19.0918,0.135,666.05,0.0,5441.0,0.87,0.9,1,3,Transit,4.7
K2-80 c,K2-80,2016,1.47,5.605,0.0596,1002.42,0.0,5441.0,0.87,0.9,1,3,Transit,2.76
K2-81 b,K2-81,2016,1.97,6.102325,0.059,739.23,0.06,4674.13,0.634663,0.745273,1,1,Transit,4.54
K2-83 b,K2-83,2016,1.244,2.74697,0.03014,707.17,0.07,3910.0,0.424,0.484,1,2,Transit,2.08
K2-83 c,K2-83,2016,1.483,9.99767,0.07131,459.75,0.06,3910.0,0.424,0.484,1,2,Transit,2.8
K2-84 b,K2-84,2016,2.41,6.4215,0.0665,1019.22,0.0,5652.0,0.93,0.95,1,2,Transit,6.39
K2-84 c,K2-84,2016,2.03,27.86,0.1768,625.08,0.0,5652.0,0.93,0.95,1,2,Transit,4.78
K2-86 b,K2-86,2016,1.96,8.77683,0.077,830.49,0.0,5482.0,0.76,0.79,1,1,Transit,4.5
K2-87 b,K2-87,2016,7.6,9.726618,0.094,979.0,0.0,5747.0,1.401,1.164,1,1,Transit,44.9
K2-89 b,K2-89,2016,0.615,1.096026,0.01462,830.07,0.15,3691.0,0.318,0.347,1,1,Transit,0.17
K2-9 b,K2-9,2015,2.25,18.4498,0.091,314.0,0.0,3390.0,0.31,0.3,1,1,Transit,5.69
K2-90 c,K2-90,2016,1.3,2.900706,0.035,908.07,0.19,4421.98,0.634754,0.704613,1,2,Transit,2.24
K2-91 b,K2-91,2016,1.1,1.419549,0.0164,726.81,0.09,3622.0,0.284,0.292,1,1,Transit,1.37
K2-97 b,K2-97,2016,13.45077684,8.407115,0.0854,1566.0,0.207,4673.0,4.14,1.17,1,1,Transit,174.48779544
K2-98 b,K2-98,2016,5.06645928,10.1367349,0.0986,1185.0,0.119,6260.0,1.518,1.246,1,1,Transit,34.00763955
K2-99 b,K2-99,2016,11.88151954,18.24783,0.153,1184.0,0.22,6069.0,2.55,1.44,1,2,Transit,276.51071409
K2-99 c,K2-99,2022,12.6,522.2,1.43,390.0,0.21,6069.0,2.55,1.44,1,2,Radial Velocity,2669.7586188
KELT-10 b,KELT-10,2016,15.681391,4.1662739,0.0525,1377.0,0.0,5948.0,1.209,1.112,1,1,Transit,215.80657
KELT-11 b,KELT-11,2017,15.13212395,4.73620865,0.0623,1712.0,0.0,5375.0,2.69,1.44,1,1,Transit,65.15482343
KELT-12 b,KELT-12,2017,19.95202,5.031623,0.06708,1800.0,0.0,6279.0,2.37,1.591,1,1,Transit,301.9385
KELT-14 b,KELT-14,2016,19.537287,1.7100566,0.03005,1970.0,0.0,5720.0,1.52,1.239,1,1,Transit,408.09372
KELT-15 b,KELT-15,2016,19.50366,3.32944,0.04613,1642.0,0.0,6003.0,1.78,2.06,2,1,Transit,416.3573
KELT-16 b,KELT-16,2017,15.860735,0.9689951,0.02044,2453.0,0.0,6236.0,1.36,1.211,2,1,Transit,874.0325
KELT-17 b,KELT-17,2016,17.093725,3.0801716,0.04881,2087.0,0.0,7454.0,1.645,1.635,1,1,Transit,416.3573
KELT-18 b,KELT-18,2017,17.59813,2.8717518,0.0455,2085.0,0.0,6670.0,1.908,1.524,2,1,Transit,375.0394
KELT-19 A b,KELT-19 A,2017,21.40919,4.6117093,0.0637,1935.0,0.0,7500.0,1.83,1.62,2,1,Transit,1293.5681
KELT-2 A b,KELT-2 A,2012,15.13215,4.11379,0.05497,2080.0,0.0,6327.0,1.93,1.54,2,1,Transit,540.311
KELT-20 b,KELT-20,2017,19.514869,3.4741085,0.0542,2262.0,0.0,8720.0,1.565,1.76,1,1,Transit,1074.90106
KELT-21 b,KELT-21,2018,17.777474,3.6127647,0.05224,2051.0,0.0,7598.0,1.638,1.458,1,1,Transit,1242.7153
KELT-23 A b,KELT-23 A,2019,14.829507,2.255251,0.03302,1561.0,0.0,5899.0,0.996,0.944,2,1,Transit,298.12454
KELT-24 b,KELT-24,2019,12.71098411,5.55149296,0.0665,1391.0,0.0319,6426.0,1.338,1.268,2,1,Transit,1458.83238813
KELT-3 b,KELT-3,2013,17.48604,2.70339,0.04123,1816.0,0.0,6304.0,1.7,1.96,2,1,Transit,616.5902
KELT-6 b,KELT-6,2014,14.5717,7.8457,0.07939,1313.0,0.22,6102.0,1.73,1.42,1,2,Transit,165.2716
KELT-7 b,KELT-7,2015,17.9344,2.73477,0.04415,2048.0,0.0,6768.0,1.81,1.76,1,1,Transit,441.7837
KELT-8 b,KELT-8,2015,18.15858,3.24406,0.0455,1675.0,0.04,5754.0,1.46,0.81,1,1,Transit,209.7678
KELT-9 b,KELT-9,2017,21.70058664,1.4811235,0.03368,3921.0,0.0,9270.0,2.418,2.32,2,1,Transit,915.34581216
KIC 10068024 b,KIC 10068024,2021,13.4,2.073549,0.099815,751.0,0.0,6118.4,1.574,1.22,1,1,Orbital Brightness Modulation,635.656814
KIC 10525077 b,KIC 10525077,2015,5.5,854.083,0.099815,751.0,0.0,6091.0,1.01,1.01,1,1,Transit,25.9
KIC 3558849 b,KIC 3558849,2015,6.9,1322.3,0.099815,751.0,0.0,6175.0,1.01,0.98,1,1,Transit,38.1
KIC 5437945 b,KIC 5437945,2015,6.4,440.7813,1.19671,308.0,0.0,6340.0,1.24,1.07,1,2,Transit,33.6
KIC 5479689 b,KIC 5479689,2021,14.2,1.701531,0.099815,751.0,0.0,5459.1,0.894,0.966,1,1,Orbital Brightness Modulation,158.9142035
KIC 7917485 b,KIC 7917485,2016,12.4,840.0,0.099815,751.0,0.15,7067.0,2.009938,1.63,1,1,Pulsation Timing Variations,3750.394
KIC 8121913 b,KIC 8121913,2021,13.4,3.294601,0.099815,751.0,0.0,5975.3,2.233,1.456,1,1,Orbital Brightness Modulation,667.4396547
KIC 9663113 b,KIC 9663113,2015,4.6,572.3847,1.55346,264.0,0.0,6065.0,1.03,0.98,1,2,Transit,19.2
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,2023,1.33,10.559687499999999,2.44,751.0,0.0,5544.0,0.95,0.41,1,1,Microlensing,2.32
KMT-2016-BLG-1337L b,KMT-2016-BLG-1337L,2026,11.4,10.559687499999999,3.97,751.0,0.0,5544.0,0.95,0.54,2,1,Microlensing,88.99195396
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,2019,13.3,10.559687499999999,3.5,751.0,0.0,5544.0,0.95,0.49,1,1,Microlensing,700.0
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,2024,13.8,10.559687499999999,3.58,751.0,0.0,5544.0,0.95,0.73,1,1,Microlensing,301.93698665
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,2020,13.0,10.559687499999999,2.63,751.0,0.0,5544.0,0.95,0.5,1,1,Microlensing,1250.0
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,2020,13.2,10.559687499999999,3.64,751.0,0.0,5544.0,0.95,0.64,1,1,Microlensing,836.0
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,2021,14.0,10.559687499999999,0.681,751.0,0.0,5544.0,0.95,0.064,1,1,Microlensing,245.0457018
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,2018,6.45,10.559687499999999,3.45,751.0,0.0,5544.0,0.95,0.76,1,1,Microlensing,34.0
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,2023,2.23,10.559687499999999,1.81,751.0,0.0,5544.0,0.95,0.34,1,1,Microlensing,5.59
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,2024,2.41,10.559687499999999,2.73,751.0,0.0,5544.0,0.95,0.19,1,1,Microlensing,6.39
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,2023,2.13,10.559687499999999,1.38,751.0,0.0,5544.0,0.95,0.32,1,1,Microlensing,5.19
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,2019,13.4,10.559687499999999,1.8,751.0,0.0,5544.0,0.95,0.37,1,1,Microlensing,640.0
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,2019,14.0,10.559687499999999,1.6,751.0,0.0,5544.0,0.95,0.33,1,1,Microlensing,230.0
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,2023,1.7,10.559687499999999,1.78,751.0,0.0,5544.0,0.95,0.41,1,1,Microlensing,3.54
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,2025,12.5,10.559687499999999,15.91,751.0,0.0,5544.0,0.95,0.36,1,1,Microlensing,2809.60311788
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,2024,14.2,10.559687499999999,2.14,751.0,0.0,5544.0,0.95,0.4,1,1,Microlensing,171.0
KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,2021,13.4,10.559687499999999,2.14,751.0,0.0,5544.0,0.95,0.46,1,1,Microlensing,664.26137063
KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,2022,13.6,10.559687499999999,4.39,751.0,0.0,5544.0,0.95,0.51,1,1,Microlensing,460.85119015
KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,2022,10.1,10.559687499999999,0.87,751.0,0.0,5544.0,0.95,0.1,1,1,Microlensing,73.10053361
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,2022,13.4,10.559687499999999,2.46,751.0,0.0,5544.0,0.95,0.29,1,1,Microlensing,670.61793877
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,2021,2.34,10.559687499999999,1.305,751.0,0.0,5544.0,0.95,0.219,1,1,Microlensing,6.059
